모델,AUROC,BalancedAccuracy,Accuracy,Specificity,Sensitivity,AUPRC,F1,Precision
Weighted Soft Voting (LR+XGB+LGBM),0.888,0.835,0.797,0.772,0.898,0.659,0.638,0.494
Soft Voting (LR+XGB+LGBM),0.888,0.835,0.797,0.772,0.898,0.659,0.638,0.494
Soft Voting (LR+XGB),0.885,0.835,0.785,0.751,0.918,0.653,0.629,0.479
Weighted Soft Voting (LR+XGB),0.885,0.835,0.785,0.751,0.918,0.653,0.629,0.479
Stacking (LR+XGB+LGBM),0.883,0.84,0.805,0.782,0.898,0.655,0.647,0.506
Stacking (LR+XGB+LGBM+CAT),0.881,0.845,0.801,0.772,0.918,0.655,0.647,0.5
Weighted Soft Voting (LR+XGB+LGBM+CAT),0.881,0.842,0.797,0.766,0.918,0.645,0.643,0.495
Soft Voting (LR+XGB+LGBM+CAT),0.881,0.842,0.797,0.766,0.918,0.646,0.643,0.495
Stacking (LR+XGB),0.881,0.827,0.785,0.756,0.898,0.65,0.624,0.478
Logistic regression,0.867,0.809,0.768,0.741,0.878,0.64,0.601,0.457
XGBoost,0.865,0.807,0.728,0.675,0.939,0.608,0.579,0.418
LightGBM,0.861,0.794,0.756,0.731,0.857,0.648,0.583,0.442
CatBoost,0.853,0.812,0.821,0.827,0.796,0.613,0.639,0.534
GBM,0.839,0.802,0.768,0.746,0.857,0.606,0.596,0.457
RandomForest,0.839,0.791,0.789,0.787,0.796,0.552,0.6,0.481
Extra trees,0.807,0.761,0.764,0.766,0.755,0.446,0.561,0.446
AdaBoost,0.773,0.715,0.642,0.594,0.837,0.455,0.482,0.339
DecisionTree,0.756,0.738,0.789,0.822,0.653,0.41,0.552,0.478
MLP,0.654,0.697,0.736,0.761,0.633,0.38,0.488,0.397
