sido_short,sigungu,registration,total_chargers,fast_chargers,slow_chargers,apt_charger_count,apt_charger_ratio,log_reg,expected_total,gap_pct_total,expected_fast,gap_pct_fast,expected_slow,gap_pct_slow,n_reported,ok_rate,broken_rate,busy_rate,n_kw_reported,avg_kw,log_pop,apt_ratio,old_housing_ratio,parking_ratio,subsidy_receipt_rate,budget_exec_rate,is_deficit
강원,강릉시,3671.0,1473,273,1200,634,0.4304141208418194,8.208219383496834,1332.2519798525116,10.564669617760302,141.38587844742074,93.08859059890098,1172.1281613742233,2.377883199487263,2479.0,92.33561920129084,3.0254134731746674,12.101354303189165,50.0,92.0,12.266000554110061,60.7,33.91466734074823,83.1,49.0,49.0,0.0
강원,고성군,364.0,228,62,166,44,0.19298245614035087,5.8971538676367405,111.90590089727878,103.74260711174372,37.369537168740344,65.9105375590872,70.59365052354798,135.14862706331817,339.0,86.72566371681415,2.949852507374631,13.945578231292515,25.0,150.0,10.231855610259325,22.6,38.60686427457098,81.3,102.0,102.0,0.0
강원,동해시,872.0,476,56,420,286,0.6008403361344538,6.77078942390898,285.43339342850123,66.76394947434004,61.79775566032755,-9.381822362926929,204.18916325099863,105.69162109926316,851.0,94.35957696827262,1.8801410105757932,9.090909090909092,24.0,154.16666666666666,11.358293002437652,68.2,35.193345432546884,85.8,49.0,49.0,0.0
강원,삼척시,729.0,507,142,365,154,0.3037475345167653,6.591673732008658,235.57633789623577,115.21686113624794,55.742228778044485,154.7440299981876,164.233660237403,122.24433132184065,825.0,89.6969696969697,5.212121212121213,9.054054054054054,57.0,114.03508771929825,11.050143695207472,48.8,39.62709607494,84.1,77.0,77.0,0.0
강원,속초시,887.0,506,83,423,210,0.4150197628458498,6.787844982309579,290.69907121966753,74.06316362725485,62.40760159094125,32.99661881582041,208.46722231541736,102.90959667510124,1120.0,94.375,3.0357142857142856,14.096499526963102,28.0,137.5,11.286752329095654,73.0,30.43272538196944,87.4,286.0,286.0,0.0
강원,양구군,336.0,67,34,33,17,0.2537313432835821,5.817111159963204,102.70591336475404,-34.765197246186375,35.68640655946284,-4.72562726833492,64.04780322892645,-48.47598459849139,140.0,91.42857142857143,1.4285714285714286,9.375,24.0,181.25,9.925395804585008,29.4,34.52022471910112,88.4,54.0,47.0,1.0
강원,양양군,359.0,184,60,124,58,0.31521739130434784,5.883322388488279,110.2592004804676,66.8794977636316,37.073118509882185,61.84233323669937,69.41651682915867,78.63183816205732,319.0,84.63949843260188,5.329153605015674,18.14814814814815,31.0,182.25806451612902,10.191931834432474,29.8,28.210205856770077,88.5,76.0,76.0,0.0
강원,영월군,392.0,162,37,125,33,0.2037037037037037,5.971261839790462,121.15687996512798,33.71093746110638,38.99856457234742,-5.124713163839201,77.24912830658079,61.814123654456,282.0,89.00709219858156,3.546099290780142,17.928286852589643,23.0,158.69565217391303,10.475850322817688,25.4,38.608,82.3,61.0,60.0,0.0
강원,원주시,5179.0,2782,336,2446,1874,0.6736161035226456,8.552367266423891,1926.5360745657586,44.40425158542973,172.36979422968716,94.92974479755507,1781.06696575713,37.333410086588614,4689.0,93.43143527404564,2.3245894647046277,11.960739557178726,70.0,103.57142857142857,12.809623292278363,77.5,20.53458515611095,88.7,73.0,71.0,0.0
강원,인제군,418.0,301,74,227,31,0.10299003322259136,6.035481432524756,129.7897579468048,131.91352288627186,40.46754969388455,82.86256657438014,83.52194738955521,171.78485068271692,353.0,91.21813031161473,1.9830028328611897,11.180124223602485,31.0,148.38709677419354,10.347115121738641,29.1,27.46760160274757,78.6,63.0,63.0,0.0
강원,정선군,354.0,180,66,114,24,0.13333333333333333,5.869296913133774,108.614145671451,65.72426997168989,36.77494320003772,79.47002566664008,68.24291477111291,67.05030900622664,510.0,93.92156862745098,2.549019607843137,18.37160751565762,38.0,146.05263157894737,10.389087671750044,30.8,42.39103763323907,82.9,98.0,91.0,0.0
강원,철원군,541.0,147,45,102,46,0.3129251700680272,6.293419278846481,171.12085593230046,-14.095801356816063,46.9466902241899,-4.146597374370053,114.28470107220366,-10.749208736559002,289.0,88.58131487889274,2.768166089965398,8.59375,31.0,130.6451612903226,10.598358246992348,28.9,38.11291537439078,88.7,100.0,100.0,0.0
강원,춘천시,4801.0,1877,239,1638,1174,0.6254661694192861,8.476579508530941,1776.233928945198,5.673018030605981,165.00998506615156,44.83971979282724,1624.2968385916947,0.8436365252170397,3460.0,93.15028901734104,2.8901734104046244,10.456096804219671,97.0,128.8659793814433,12.583765654292133,71.4,23.550744452495863,84.8,103.0,103.0,0.0
강원,태백시,420.0,124,48,76,39,0.31451612903225806,6.040254711277414,130.45545507454304,-4.948397957643358,40.57891963067317,18.2880185989903,84.00803656348175,-9.532464858204815,385.0,93.24675324675324,3.6363636363636362,11.699164345403899,15.0,90.0,10.534493336558224,56.8,47.32284130982368,85.3,57.0,56.0,0.0
